Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2014-10-23,118.779999,120.610001,118.589996,119.720001,1000200,116.850469
2014-10-24,120.339996,120.870003,118.889999,120.260002,641300,117.377527
2014-10-27,120.099998,120.529999,118.730003,120.050003,725100,117.172561
2014-10-28,120.269997,122.470001,120.269997,121.790001,743600,118.870853
2014-10-29,122.139999,122.459999,119.480003,120.5,763300,117.611772
2014-10-30,120.190002,121.980003,119.360001,120.790001,816500,117.894822
2014-10-31,122.5,123.230003,121.279999,122.790001,745700,119.846885
2014-11-03,122.730003,122.959999,120.769997,121.540001,728600,118.626846
2014-11-04,120.800003,122.059998,120.230003,120.629997,534400,117.738653
2014-11-05,121.080002,122.400002,120.099998,121.809998,645700,118.890371
2014-11-06,122.400002,124.599998,122.099998,123.730003,616000,120.764356
2014-11-07,124.209999,125.099998,122.660004,123.32,697300,120.36418
2014-11-10,123.809998,125.440002,123.800003,124.75,588400,121.759905
2014-11-11,124.93,126.489998,124.260002,124.839996,1100500,121.847744
2014-11-12,124.25,125.309998,123.330002,123.550003,646000,120.588671
2014-11-13,124.040001,124.830002,123.589996,124.620003,899000,121.633024
2014-11-14,124.800003,126.080002,124.360001,125.879997,821600,122.862818
2014-11-17,125.209999,125.379997,124.540001,124.800003,555600,121.80871
2014-11-18,124.699997,125.379997,123.580002,123.720001,783400,120.754594
2014-11-19,123.269997,123.559998,122.089996,122.919998,678600,119.973766
2014-11-20,122.709999,124.730003,122.5,124.199997,659300,121.223085
2014-11-21,125.339996,125.339996,123.639999,124.169998,727900,121.193805
2014-11-24,124.639999,125.889999,124.370003,125.139999,577500,122.140557
2014-11-25,125.540001,126.010002,125.309998,125.400002,704100,122.394327
2014-11-26,125.269997,125.919998,124.839996,125.300003,395100,122.296725
2014-11-28,125.610001,125.610001,118.620003,118.940002,1291800,116.089166
2014-12-01,117.989998,118.0,111.349998,115.470001,2225000,112.702336
2014-12-02,115.379997,119.080002,115.230003,119.050003,1740300,116.19653
2014-12-03,119.300003,120.57,119.089996,120.239998,967300,117.358002
2014-12-04,119.879997,120.480003,117.809998,118.449997,708900,115.610905
2014-12-05,118.43,119.050003,116.93,117.300003,509100,114.488475
2014-12-08,116.919998,116.940002,113.279999,114.25,820700,111.511576
2014-12-09,111.93,115.330002,111.5,115.25,638600,112.487608
2014-12-10,115.529999,115.739998,111.889999,112.239998,761700,109.549751
2014-12-11,113.029999,113.540001,110.559998,111.870003,1154700,109.188625
2014-12-12,110.599998,111.870003,109.57,109.620003,1054000,106.992554
2014-12-15,110.660004,112.129997,109.800003,110.949997,1080200,108.29067
2014-12-16,110.709999,114.599998,110.160004,111.410004,1248200,108.739651
2014-12-17,112.540001,115.970001,110.919998,115.360001,1187500,112.594972
2014-12-18,117.269997,118.019997,115.830002,118.019997,1120700,115.191211
2014-12-19,118.739998,120.650002,117.309998,120.290001,1563300,117.406806
2014-12-22,120.580002,122.860001,120.5,122.449997,908900,119.51503
2014-12-23,122.599998,123.959999,122.290001,123.300003,600700,120.344663
2014-12-24,123.379997,123.559998,122.279999,122.5,230000,119.563835
2014-12-26,122.650002,123.419998,122.360001,122.410004,313100,119.475995
2014-12-29,121.889999,123.879997,121.190002,123.75,531300,121.060794
2014-12-30,123.309998,123.690002,122.489998,122.68,649400,120.014046
2014-12-31,123.150002,123.669998,121.839996,122.029999,472000,119.37817
2015-01-02,122.18,122.900002,119.040001,120.419998,806300,117.803156
2015-01-05,119.099998,119.099998,115.150002,115.239998,910100,112.735722
2015-01-06,115.309998,115.610001,111.690002,112.709999,1259800,110.260703
2015-01-07,113.339996,114.610001,112.650002,113.269997,777400,110.808531
2015-01-08,114.300003,115.260002,113.120003,115.099998,1249400,112.598765
2015-01-09,115.860001,116.209999,114.160004,114.25,1140700,111.767238
2015-01-12,113.68,114.150002,112.300003,113.300003,701000,110.837885
2015-01-13,114.309998,114.709999,109.949997,111.489998,818900,109.067213
2015-01-14,109.5,110.82,107.900002,110.059998,1356300,107.668288
2015-01-15,110.059998,110.949997,109.209999,109.230003,822600,106.856331
2015-01-16,109.370003,110.57,108.980003,109.980003,906500,107.590032
2015-01-20,110.0,111.269997,109.720001,110.0,1982800,107.609594
2015-01-21,109.589996,111.839996,109.330002,110.620003,2099600,108.216124
2015-01-22,112.32,114.769997,111.209999,113.699997,1689500,111.229187
2015-01-23,110.0,111.18,107.529999,107.790001,4283800,105.447621
2015-01-26,108.019997,112.440002,107.919998,110.470001,2209300,108.069382
2015-01-27,108.709999,110.089996,108.300003,109.279999,1011000,106.90524
2015-01-28,110.209999,110.559998,108.550003,109.0,1149700,106.631325
2015-01-29,109.099998,111.07,108.620003,110.82,1269300,108.411775
2015-01-30,110.160004,111.190002,109.32,110.089996,1373800,107.697635
2015-02-02,110.349998,112.800003,110.18,112.730003,1053800,110.280272
2015-02-03,113.199997,115.279999,112.879997,114.900002,933900,112.403114
2015-02-04,113.839996,115.099998,113.389999,114.370003,818500,111.884633
2015-02-05,115.050003,116.830002,114.730003,116.379997,817600,113.850948
2015-02-06,116.470001,117.370003,115.919998,116.519997,525100,113.987905
2015-02-09,115.720001,116.699997,114.970001,115.330002,550500,112.82377
2015-02-10,115.989998,116.919998,114.639999,116.519997,552400,113.987905
2015-02-11,116.410004,117.0,115.849998,116.360001,395300,113.831386
2015-02-12,117.059998,118.129997,116.730003,117.989998,669500,115.425962
2015-02-13,118.440002,119.400002,117.82,118.120003,579600,115.553142
2015-02-17,117.489998,119.480003,117.059998,119.25,569200,116.658583
2015-02-18,118.970001,119.75,118.300003,119.349998,544000,116.756409
2015-02-19,118.57,119.779999,117.769997,117.919998,445100,115.357483
2015-02-20,117.209999,118.150002,115.5,116.610001,1092200,114.075953
2015-02-23,117.529999,120.629997,117.25,119.470001,1239300,116.873803
2015-02-24,119.209999,119.940002,118.599998,119.5,596300,116.90315
2015-02-25,119.93,120.449997,118.370003,118.599998,614200,116.022707
2015-02-26,118.559998,119.190002,116.540001,117.080002,663000,114.535741
2015-02-27,117.110001,117.550003,115.809998,115.839996,677000,113.322682
2015-03-02,115.919998,117.209999,115.800003,117.029999,578700,114.486825
2015-03-03,116.199997,116.360001,115.160004,115.82,779400,113.30312
2015-03-04,115.620003,116.529999,114.720001,116.139999,648000,113.616166
2015-03-05,116.0,116.68,114.919998,116.029999,482000,113.831993
2015-03-06,114.870003,115.389999,113.300003,113.730003,586400,111.575567
2015-03-09,113.540001,114.199997,113.110001,113.610001,756900,111.457838
2015-03-10,112.75,113.790001,112.010002,113.169998,960600,111.02617
2015-03-11,113.480003,114.839996,113.110001,114.510002,734900,112.34079
2015-03-12,115.25,115.510002,114.699997,115.099998,443600,112.91961
2015-03-13,115.0,115.839996,113.980003,114.43,774300,112.262304
2015-03-16,115.230003,116.139999,114.769997,115.970001,451100,113.773132
2015-03-17,115.050003,115.410004,114.400002,114.639999,626400,112.468325
2015-03-18,114.400002,115.639999,113.050003,115.050003,700800,112.870561
2015-03-19,114.400002,115.809998,114.290001,114.889999,429400,112.713589
2015-03-20,115.510002,116.800003,115.150002,115.690002,894800,113.498437
2015-03-23,111.699997,111.699997,105.769997,106.480003,4021500,104.462907
2015-03-24,106.230003,106.690002,105.099998,105.099998,2209900,103.109044
2015-03-25,105.129997,105.739998,103.339996,103.379997,1648800,101.421626
2015-03-26,102.5,103.629997,102.0,103.120003,941100,101.166556
2015-03-27,102.639999,103.309998,102.199997,102.959999,1171100,101.009584
2015-03-30,103.5,103.809998,102.839996,103.309998,637000,101.352952
2015-03-31,102.370003,102.610001,101.139999,102.080002,1053400,100.146257
2015-04-01,101.989998,103.5,101.459999,102.980003,1197600,101.029209
2015-04-02,102.970001,105.239998,102.669998,105.0,1171300,103.01094
2015-04-06,104.510002,105.440002,104.360001,104.699997,1058100,102.71662
2015-04-07,105.25,106.160004,104.889999,104.970001,604200,102.981509
2015-04-08,104.940002,105.620003,104.279999,104.949997,605200,102.961884
2015-04-09,104.669998,106.220001,104.43,106.029999,1067300,104.021427
2015-04-10,106.449997,106.940002,105.449997,106.330002,1298100,104.315747
2015-04-13,106.040001,106.620003,105.389999,105.540001,579700,103.540711
2015-04-14,103.260002,105.779999,102.120003,105.599998,1056700,103.599572
2015-04-15,106.230003,106.910004,105.5,105.959999,1180700,103.952753
2015-04-16,105.690002,105.82,104.919998,105.129997,1192400,103.138475
2015-04-17,104.0,104.93,103.940002,104.489998,1613800,102.510599
2015-04-20,104.860001,108.290001,104.860001,107.370003,1244500,105.336047
2015-04-21,104.93,106.110001,103.019997,105.169998,2121600,103.177718
2015-04-22,104.699997,106.849998,104.519997,106.239998,1035200,104.227448
2015-04-23,105.25,107.879997,104.699997,107.0,953400,104.973053
2015-04-24,107.220001,107.739998,105.690002,106.5,723600,104.482525
2015-04-27,106.599998,107.129997,105.959999,106.230003,615300,104.217643
2015-04-28,106.059998,106.360001,104.839996,104.839996,748000,102.853967
2015-04-29,104.5,105.260002,102.690002,103.160004,1339300,101.205799
2015-04-30,102.559998,102.839996,101.919998,102.489998,1222800,100.548486
2015-05-01,103.269997,104.220001,102.449997,103.699997,1214900,101.735563
2015-05-04,103.889999,104.739998,103.199997,103.470001,662700,101.509925
2015-05-05,103.0,103.839996,101.970001,102.0,882800,100.06777
2015-05-06,102.129997,102.879997,101.519997,102.260002,1071500,100.322847
2015-05-07,102.440002,102.75,101.489998,101.580002,1071600,99.655728
2015-05-08,102.269997,103.050003,102.0,102.160004,1370300,100.224743
2015-05-11,102.0,102.849998,100.650002,100.830002,1520200,98.919936
2015-05-12,100.410004,100.5,98.410004,98.639999,2667500,96.77142
