Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2014-07-16,65.489998,66.190002,65.389999,65.970001,1018400,60.767199
2014-07-17,66.209999,67.68,66.080002,66.129997,2315400,60.914577
2014-07-18,66.260002,66.449997,65.720001,66.32,1142700,61.089594
2014-07-21,65.889999,66.75,65.879997,66.639999,1180500,61.384357
2014-07-22,66.889999,67.620003,66.860001,67.089996,1050300,61.798864
2014-07-23,67.279999,67.769997,67.110001,67.75,917700,62.406816
2014-07-24,67.699997,68.43,67.480003,67.730003,1187500,62.388396
2014-07-25,67.699997,67.989998,67.370003,67.610001,676700,62.277858
2014-07-28,67.559998,67.919998,66.959999,67.510002,693200,62.185746
2014-07-29,67.260002,68.040001,67.230003,67.230003,753700,61.92783
2014-07-30,67.629997,68.150002,66.330002,66.720001,1433600,61.458049
2014-07-31,61.240002,63.860001,61.029999,62.130001,3942100,57.230045
2014-08-01,61.509998,62.0,60.689999,61.529999,2145100,56.677363
2014-08-04,61.470001,62.139999,61.099998,62.049999,1296500,57.156353
2014-08-05,61.59,61.889999,60.389999,60.669998,1526900,55.885187
2014-08-06,60.439999,61.330002,60.169998,60.849998,1358800,56.050991
2014-08-07,61.689999,62.91,60.119999,60.369999,1491200,55.608848
2014-08-08,60.5,61.389999,60.349998,61.32,1110300,56.483925
2014-08-11,61.689999,61.860001,61.080002,61.130001,723400,56.308911
2014-08-12,60.880001,61.080002,60.029999,60.290001,871700,55.535159
2014-08-13,60.549999,60.880001,59.880001,60.02,1175200,55.286452
2014-08-14,59.880001,60.09,59.580002,59.860001,981000,55.462497
2014-08-15,60.200001,60.549999,60.0,60.459999,999900,56.018418
2014-08-18,60.57,60.75,60.189999,60.549999,1264800,56.101806
2014-08-19,60.759998,61.009998,60.459999,60.48,1363200,56.036949
2014-08-20,60.490002,60.66,60.060001,60.610001,830100,56.1574
2014-08-21,60.5,61.41,60.450001,61.32,780200,56.81524
2014-08-22,61.119999,61.119999,60.32,60.849998,618000,56.379766
2014-08-25,61.07,61.400002,60.939999,61.279999,594900,56.778178
2014-08-26,61.389999,61.970001,61.119999,61.130001,737900,56.639199
2014-08-27,61.25,61.34,60.68,60.790001,716100,56.324176
2014-08-28,60.740002,61.400002,60.52,61.110001,733100,56.620668
2014-08-29,61.52,62.529999,61.240002,62.470001,1290800,57.880759
2014-09-02,62.299999,62.450001,60.66,60.959999,945800,56.481686
2014-09-03,61.41,61.689999,61.110001,61.200001,934200,56.704056
2014-09-04,61.139999,61.169998,59.389999,59.68,1314200,55.29572
2014-09-05,59.720001,60.02,59.279999,59.939999,1010700,55.536618
2014-09-08,59.57,59.599998,58.369999,58.990002,1058000,54.656411
2014-09-09,59.040001,59.169998,58.220001,58.599998,841000,54.295058
2014-09-10,58.48,58.59,57.799999,58.330002,822100,54.044897
2014-09-11,57.830002,58.290001,57.439999,58.009998,1183900,53.748402
2014-09-12,57.77,57.900002,57.09,57.27,706700,53.062766
2014-09-15,57.029999,58.0,56.75,57.939999,1392900,53.683544
2014-09-16,58.0,59.0,57.84,58.490002,1207600,54.193142
2014-09-17,58.490002,58.77,58.189999,58.27,903300,53.989303
2014-09-18,58.299999,58.450001,57.580002,57.700001,782400,53.461177
2014-09-19,57.98,58.07,57.52,57.860001,1289500,53.609423
2014-09-22,57.169998,57.439999,56.869999,57.150002,764200,52.951583
2014-09-23,57.130001,58.099998,57.029999,57.560001,1397200,53.331463
