Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2015-06-30,110.5,110.900002,108.75,109.230003,2225300,108.490957
2015-07-01,110.0,111.349998,109.010002,109.209999,1239900,108.471088
2015-07-02,110.0,110.980003,107.0,108.190002,1402400,107.457993
2015-07-06,108.190002,109.540001,107.610001,108.790001,1523400,108.053932
2015-07-07,108.900002,109.82,107.989998,109.769997,795800,109.027297
2015-07-08,108.580002,109.290001,107.709999,107.940002,1127300,107.209685
2015-07-09,109.0,109.489998,106.769997,106.839996,1244400,106.117121
2015-07-10,107.849998,108.93,106.669998,106.809998,1893200,106.087325
2015-07-13,107.269997,108.449997,107.110001,107.629997,959600,106.901777
2015-07-14,108.120003,108.239998,107.129997,107.400002,797600,106.673337
2015-07-15,107.860001,108.0,107.019997,107.129997,950800,106.40516
2015-07-16,107.860001,108.199997,107.379997,107.769997,1038300,107.040829
2015-07-17,107.080002,108.050003,106.900002,107.5,890000,106.772659
2015-07-20,107.639999,108.330002,107.459999,108.029999,1042500,107.299072
2015-07-21,108.059998,108.68,107.220001,108.260002,1006500,107.527519
2015-07-22,108.190002,109.040001,107.82,108.540001,1453900,107.805623
2015-07-23,108.129997,108.900002,107.589996,107.849998,916600,107.12029
2015-07-24,107.529999,108.010002,106.599998,106.660004,693900,105.938346
2015-07-27,106.400002,106.5,105.559998,105.779999,739400,105.064295
2015-07-28,105.330002,106.660004,105.160004,106.5,975600,105.779425
2015-07-29,106.82,107.470001,106.220001,107.0,1188200,106.276042
2015-07-30,107.0,107.559998,104.43,104.849998,2252400,104.140587
2015-07-31,104.849998,105.449997,103.690002,104.07,1546800,103.365866
2015-08-03,104.470001,105.089996,103.75,104.330002,1520000,103.624109
2015-08-04,104.459999,105.32,102.900002,103.129997,1043900,102.432224
2015-08-05,104.010002,104.449997,103.440002,103.879997,1058900,103.177149
2015-08-06,103.660004,103.760002,101.290001,101.690002,1458300,101.001972
2015-08-07,101.790001,101.900002,100.360001,101.730003,1423300,101.041702
2015-08-10,102.730003,103.599998,101.959999,103.43,1206800,102.730197
2015-08-11,103.07,104.339996,102.699997,104.169998,1688800,103.465188
2015-08-12,103.18,103.68,101.699997,103.68,1137500,102.978505
2015-08-13,105.699997,110.809998,103.400002,104.360001,1279300,103.653905
2015-08-14,104.400002,105.650002,102.879997,105.529999,1478600,104.815987
2015-08-17,104.699997,106.440002,104.239998,106.389999,1058500,105.670169
2015-08-18,105.970001,106.379997,105.489998,105.970001,910600,105.253012
2015-08-19,105.32,106.900002,104.5,106.139999,1251800,105.42186
2015-08-20,104.879997,105.660004,104.589996,104.879997,1457600,104.170383
2015-08-21,104.559998,105.709999,103.989998,104.360001,2229300,103.653905
2015-08-24,101.110001,101.110001,94.730003,99.57,2782100,98.896313
2015-08-25,104.43,104.529999,98.029999,98.029999,1495600,97.366732
2015-08-26,99.169998,101.160004,98.029999,101.019997,1301300,100.336499
2015-08-27,100.959999,103.449997,100.919998,103.410004,1474700,102.710336
2015-08-28,103.0,104.480003,101.669998,104.370003,1493600,103.663839
2015-08-31,103.599998,104.889999,103.449997,103.559998,1626600,102.859315
2015-09-01,102.75,102.75,100.089996,100.650002,1598700,99.969007
2015-09-02,100.989998,101.660004,100.32,101.629997,1293500,100.942373
2015-09-03,101.790001,103.529999,101.110001,102.089996,1280200,101.399259
2015-09-04,100.559998,101.389999,100.040001,100.459999,1669500,99.780291
2015-09-08,101.980003,102.739998,101.370003,102.690002,1233300,101.995206
2015-09-09,103.349998,104.0,100.889999,101.230003,1501100,100.545085
2015-09-10,98.889999,100.989998,98.400002,100.099998,1614900,99.422726
2015-09-11,100.440002,100.519997,99.68,100.199997,1343600,99.522048
2015-09-14,95.129997,100.339996,95.129997,99.040001,1473300,98.3699
