Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2014-08-27,96.709999,97.0,95.940002,96.160004,1067700,92.191209
2014-08-28,95.75,96.190002,95.5,96.040001,1400600,92.076159
2014-08-29,96.389999,96.830002,95.900002,96.339996,1643500,92.363773
2014-09-02,96.709999,96.760002,95.910004,96.480003,2037700,92.498002
2014-09-03,96.779999,96.949997,96.209999,96.639999,2269800,92.651394
2014-09-04,96.75,97.480003,96.639999,97.110001,2055400,93.101997
2014-09-05,97.209999,97.900002,96.989998,97.760002,2411300,93.725171
2014-09-08,97.849998,98.709999,97.800003,98.5,1835100,94.434627
2014-09-09,99.080002,99.889999,98.75,99.339996,1898400,95.239955
2014-09-10,99.43,101.309998,99.230003,100.900002,3001400,96.735574
2014-09-11,101.050003,101.199997,100.529999,100.93,2458900,96.764335
2014-09-12,100.650002,101.370003,100.32,100.769997,1563200,96.610935
2014-09-15,100.959999,101.68,100.440002,101.510002,1935800,97.320398
2014-09-16,101.349998,102.18,101.040001,101.709999,1621200,97.512141
2014-09-17,102.059998,102.919998,101.720001,102.279999,1024300,98.058615
2014-09-18,102.440002,102.540001,102.099998,102.480003,1029200,98.250365
2014-09-19,103.209999,103.510002,102.629997,103.349998,2127300,99.084453
2014-09-22,102.910004,103.459999,102.18,102.389999,1186700,98.164075
2014-09-23,101.989998,102.18,100.349998,100.580002,1343200,96.428782
2014-09-24,101.0,101.099998,100.519997,101.050003,2107600,96.879385
2014-09-25,100.650002,101.050003,100.099998,100.190002,1966600,96.054879
2014-09-26,100.190002,101.790001,100.190002,101.519997,1385700,97.32998
2014-09-29,99.940002,101.610001,98.980003,100.889999,1462700,97.305868
2014-09-30,101.370003,102.360001,101.089996,101.620003,1777300,98.009938
2014-10-01,100.970001,100.970001,98.699997,99.190002,2642500,95.666263
2014-10-02,99.169998,99.400002,97.209999,97.68,1695600,94.209904
2014-10-03,98.709999,99.870003,98.379997,99.18,2142200,95.656617
2014-10-06,99.650002,100.220001,98.339996,98.400002,1405700,94.904327
2014-10-07,98.190002,98.199997,95.769997,95.769997,2332100,92.367754
2014-10-08,96.120003,97.029999,94.93,96.949997,1943300,93.505834
2014-10-09,96.839996,96.959999,94.720001,94.970001,1497100,91.596178
2014-10-10,95.139999,96.400002,94.599998,95.470001,2196200,92.078416
2014-10-13,95.510002,96.160004,93.709999,93.849998,2056300,90.515964
2014-10-14,94.139999,97.489998,93.849998,96.559998,2885600,93.12969
2014-10-15,95.150002,95.760002,92.959999,95.410004,2225500,92.02055
2014-10-16,93.989998,95.870003,93.529999,95.32,1583200,91.933743
