Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2014-08-13,205.660004,206.880005,204.320007,204.889999,628100,204.67141
2014-08-14,205.449997,205.449997,199.389999,200.070007,2810000,199.85656
2014-08-15,201.600006,203.970001,200.889999,203.009995,1434800,202.793411
2014-08-18,203.300003,204.089996,201.0,204.039993,1007600,203.82231
2014-08-19,203.699997,205.5,203.0,203.169998,825200,202.953244
2014-08-20,203.169998,205.389999,201.789993,204.470001,762200,204.25186
2014-08-21,204.009995,206.270004,202.429993,205.949997,855500,205.730276
2014-08-22,204.970001,205.410004,202.550003,204.229996,643000,204.01211
2014-08-25,205.75,208.460007,204.669998,208.080002,825000,207.858009
2014-08-26,209.350006,213.110001,208.770004,211.350006,1558200,211.124524
2014-08-27,209.699997,209.830002,205.110001,206.050003,1518000,205.830176
2014-08-28,204.630005,206.710007,204.100006,205.139999,754000,204.921143
2014-08-29,206.460007,209.139999,204.589996,208.649994,946500,208.427393
2014-09-02,207.929993,208.289993,204.789993,205.300003,1250100,205.080976
2014-09-03,205.970001,208.5,205.630005,205.940002,767400,205.720293
2014-09-04,205.949997,206.660004,198.270004,199.910004,1381800,199.696727
2014-09-05,200.490005,203.399994,199.410004,202.110001,1299100,201.894377
2014-09-08,200.309998,200.309998,194.600006,197.960007,1626100,197.74881
2014-09-09,198.559998,201.369995,197.929993,199.380005,1370400,199.167294
2014-09-10,198.399994,200.350006,196.210007,200.119995,1261500,199.906494
2014-09-11,198.179993,205.110001,197.339996,203.619995,1426500,203.40276
2014-09-12,203.300003,203.410004,201.009995,202.25,1178300,202.034227
2014-09-15,201.399994,203.970001,199.0,202.619995,906300,202.403827
2014-09-16,202.520004,209.25,202.460007,206.820007,1219100,206.599359
2014-09-17,207.710007,208.720001,204.649994,205.440002,1965200,205.220826
2014-09-18,206.220001,206.440002,200.75,202.160004,1513900,201.944327
2014-09-19,202.839996,203.809998,200.100006,200.679993,1155700,200.465895
2014-09-22,200.350006,200.350006,193.029999,195.910004,1794000,195.700994
2014-09-23,194.779999,201.300003,194.779999,197.360001,1378600,197.149444
2014-09-24,195.440002,200.330002,193.199997,198.520004,1730600,198.308211
2014-09-25,198.559998,198.75,194.330002,194.690002,1208100,194.482295
2014-09-26,194.869995,198.309998,194.399994,196.600006,1110300,196.430618
2014-09-29,195.910004,202.860001,193.660004,201.960007,1852400,201.786001
2014-09-30,201.0,201.619995,194.649994,196.970001,1472700,196.800295
2014-10-01,196.649994,199.559998,188.600006,189.820007,2176700,189.656461
2014-10-02,188.229996,189.899994,183.059998,188.360001,2608700,188.197712
2014-10-03,188.970001,189.309998,182.369995,186.380005,1915600,186.219423
2014-10-06,187.889999,189.639999,183.529999,187.009995,1687800,186.848869
2014-10-07,185.550003,188.25,183.029999,183.029999,1789100,182.872303
2014-10-08,182.720001,186.199997,178.440002,185.699997,2460300,185.540001
2014-10-09,182.520004,184.149994,176.809998,178.0,2551000,177.846638
2014-10-10,178.389999,184.110001,172.470001,176.240005,2503500,176.08816
2014-10-13,176.5,179.309998,167.839996,168.029999,2787300,167.885227
2014-10-14,169.300003,173.419998,163.25,164.779999,3403500,164.638027
2014-10-15,161.139999,172.679993,156.820007,171.580002,3753300,171.432171
2014-10-16,167.570007,179.820007,166.559998,177.919998,3559500,177.766705
2014-10-17,181.0,184.169998,176.509995,178.679993,2436400,178.526045
2014-10-20,177.610001,181.580002,176.740005,179.710007,1363700,179.555171
2014-10-21,182.259995,186.169998,181.649994,185.940002,1896500,185.779799
2014-10-22,185.839996,187.649994,178.710007,178.990005,1683300,178.83579
2014-10-23,181.970001,186.350006,179.949997,183.940002,1592100,183.781522
2014-10-24,182.169998,182.830002,178.759995,181.110001,1331200,180.953959
2014-10-27,176.910004,178.25,172.679993,176.449997,1988700,176.29797
2014-10-28,178.199997,184.460007,175.5,183.759995,1731500,183.60167
2014-10-29,186.779999,189.990005,183.5,186.100006,1488900,185.939665
2014-10-30,184.089996,186.910004,180.5,185.360001,1461100,185.200297
2014-10-31,185.0,189.809998,180.679993,189.059998,2100200,188.897106
2014-11-03,190.740005,195.789993,186.149994,188.139999,2493200,187.977901
2014-11-04,183.960007,184.880005,178.009995,180.910004,2584800,180.754134
