Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2015-06-24,91.959999,92.32,89.989998,90.029999,2117400,87.369455
2015-06-25,90.330002,90.620003,88.739998,88.760002,1945400,86.136989
2015-06-26,89.089996,89.629997,88.510002,88.870003,2984700,86.243739
2015-06-29,88.199997,88.669998,86.940002,86.980003,1722600,84.409593
2015-06-30,87.370003,87.889999,86.739998,87.360001,2404000,84.77836
2015-07-01,87.879997,88.129997,87.629997,88.099998,2323600,85.49649
2015-07-02,88.309998,88.650002,87.720001,87.830002,2217000,85.234472
2015-07-06,87.230003,87.980003,86.440002,86.940002,1466400,84.370774
2015-07-07,86.900002,88.209999,86.120003,87.82,2097900,85.224766
2015-07-08,86.970001,87.489998,85.169998,85.400002,1986100,82.876283
2015-07-09,86.239998,86.809998,85.610001,85.620003,1838100,83.089782
2015-07-10,86.580002,86.690002,85.910004,86.349998,1627600,83.798205
2015-07-13,86.949997,87.209999,86.169998,86.459999,1781500,83.904955
2015-07-14,86.269997,87.169998,85.809998,86.720001,3043000,84.157274
2015-07-15,87.099998,87.980003,86.82,86.959999,2807700,84.390179
2015-07-16,86.900002,87.68,85.480003,85.599998,1727200,83.070369
2015-07-17,85.599998,86.830002,85.599998,85.940002,1906400,83.400325
2015-07-20,86.169998,86.629997,85.760002,86.089996,1270900,83.545887
2015-07-21,86.099998,86.970001,85.589996,85.919998,1522300,83.380912
2015-07-22,85.93,86.449997,85.040001,85.370003,1237600,82.84717
2015-07-23,85.169998,85.169998,83.129997,83.480003,1943100,81.013024
2015-07-24,83.480003,84.139999,82.599998,82.959999,2048400,80.508386
2015-07-27,82.309998,84.669998,82.309998,82.800003,2039500,80.353119
2015-07-28,83.0,85.059998,83.0,84.919998,2041800,82.410464
2015-07-29,84.860001,86.040001,84.480003,85.970001,2021900,83.429438
2015-07-30,85.580002,86.110001,85.510002,85.800003,2107300,83.264463
