Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2016-05-19,89.190002,90.330002,87.739998,89.160004,1431400,89.160004
2016-05-20,89.730003,91.919998,89.639999,91.629997,1227600,91.629997
2016-05-23,91.910004,93.300003,91.440002,92.709999,1962700,92.709999
2016-05-24,92.959999,94.099998,92.209999,93.389999,1095800,93.389999
2016-05-25,93.0,94.5,92.669998,93.93,969400,93.93
2016-05-26,94.440002,94.940002,93.699997,93.849998,875500,93.849998
2016-05-27,93.93,94.389999,93.400002,94.07,651800,94.07
2016-05-31,94.089996,94.489998,93.330002,94.330002,904200,94.330002
2016-06-01,93.650002,95.870003,93.57,95.459999,943600,95.459999
2016-06-02,95.5,96.610001,95.279999,96.610001,863300,96.610001
2016-06-03,96.019997,96.379997,95.010002,95.809998,1643500,95.809998
