Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2016-05-20,110.790001,111.050003,109.900002,110.080002,1206600,109.333256
2016-05-23,110.080002,111.099998,110.010002,110.489998,1093500,109.740471
2016-05-24,110.970001,111.519997,110.57,110.769997,1281000,110.01857
2016-05-25,111.269997,112.010002,111.0,111.629997,881900,110.872737
2016-05-26,111.809998,111.989998,110.459999,110.57,637000,109.81993
2016-05-27,110.57,111.110001,110.209999,110.769997,750400,110.01857
2016-05-31,110.870003,111.129997,109.809998,109.860001,1726200,109.114747
2016-06-01,109.57,111.029999,109.019997,110.839996,2096700,110.088095
2016-06-02,110.57,110.57,109.940002,110.559998,974500,109.809996
2016-06-03,109.580002,110.57,109.580002,110.239998,1166200,110.239998
