Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2015-03-27,112.330002,113.580002,112.209999,113.190002,1881900,111.257802
2015-03-30,113.699997,114.0,113.370003,113.489998,2179900,111.552677
2015-03-31,113.419998,114.269997,113.419998,113.669998,2254200,111.729604
2015-04-01,113.93,113.93,111.410004,112.029999,2171900,110.1176
2015-04-02,112.160004,112.589996,111.580002,112.389999,2049400,110.471456
2015-04-06,111.989998,113.129997,111.790001,112.540001,1869200,110.618897
2015-04-07,112.910004,113.489998,112.449997,112.68,1189900,110.756506
2015-04-08,112.769997,113.5,112.43,113.239998,2048900,111.306944
2015-04-09,113.309998,114.279999,112.639999,113.5,2425500,111.562508
2015-04-10,113.400002,115.550003,113.220001,115.349998,1879600,113.380926
2015-04-13,115.309998,115.879997,113.660004,113.989998,1826900,112.044142
2015-04-14,114.339996,114.449997,112.699997,114.0,1032000,112.053973
2015-04-15,114.199997,114.330002,112.779999,113.620003,1328000,111.680462
2015-04-16,113.410004,114.059998,112.529999,113.830002,1055600,111.886877
2015-04-17,113.209999,113.709999,112.050003,112.610001,2296800,110.687701
2015-04-20,112.959999,113.559998,112.889999,113.190002,1413000,111.257802
2015-04-21,113.889999,114.489998,113.239998,113.889999,1176800,111.94585
2015-04-22,113.849998,114.410004,113.370003,113.809998,1145300,111.867214
2015-04-23,113.809998,116.18,113.57,115.199997,2152100,113.233485
2015-04-24,115.099998,115.980003,114.190002,115.480003,849200,113.508712
2015-04-27,115.879997,115.879997,113.849998,114.110001,1562800,112.162096
2015-04-28,114.0,114.620003,112.610001,113.959999,1339900,112.014655
2015-04-29,113.690002,113.989998,112.120003,112.440002,2200100,110.520605
2015-04-30,117.389999,120.68,113.029999,114.300003,5198100,112.348855
2015-05-01,115.120003,115.32,113.830002,114.610001,2903800,112.653561
2015-05-04,114.669998,116.279999,114.510002,115.25,2195200,113.282635
2015-05-05,115.620003,115.75,114.400002,114.699997,1844000,112.742021
2015-05-06,114.900002,115.129997,113.510002,114.059998,1703600,112.112946
