Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2015-06-22,85.230003,85.82,84.610001,85.629997,1422700,83.715176
2015-06-23,85.739998,87.779999,85.739998,87.330002,1736700,85.377165
2015-06-24,86.940002,87.209999,85.489998,85.790001,1762500,83.871601
2015-06-25,85.690002,86.239998,85.25,85.650002,1191900,83.734732
2015-06-26,85.440002,87.040001,85.440002,85.720001,2507700,83.803167
2015-06-29,84.5,85.540001,83.809998,83.830002,1597200,81.955431
2015-06-30,84.75,86.489998,84.019997,84.410004,2488800,82.522463
2015-07-01,84.970001,89.089996,83.75,88.540001,4304500,86.560107
2015-07-02,88.519997,91.650002,87.830002,91.209999,3906000,89.1704
2015-07-06,90.589996,92.110001,90.449997,91.510002,3160700,89.463694
2015-07-07,91.489998,93.230003,89.93,92.699997,3534100,90.627079
2015-07-08,91.910004,92.989998,91.040001,91.690002,2438800,89.639669
2015-07-09,92.68,94.07,91.690002,93.410004,3402300,91.321209
2015-07-10,94.110001,98.900002,93.889999,98.400002,3831300,96.199622
2015-07-13,99.449997,101.25,98.870003,99.959999,3282100,97.724736
2015-07-14,100.019997,102.239998,98.410004,98.739998,3519200,96.532016
2015-07-15,98.419998,99.400002,97.559998,97.709999,2020800,95.525049
2015-07-16,97.720001,104.440002,97.720001,102.790001,3183500,100.491454
2015-07-17,102.860001,103.940002,101.029999,102.139999,1939800,99.855988
2015-07-20,102.139999,102.139999,99.360001,99.589996,2533000,97.363007
2015-07-21,99.599998,100.489998,97.339996,98.830002,2466100,96.620007
2015-07-22,99.269997,100.75,97.410004,99.760002,2322600,97.529211
2015-07-23,99.720001,100.480003,98.279999,98.440002,1368500,96.238729
2015-07-24,99.0,99.889999,98.309998,98.940002,1400800,96.727548
2015-07-27,97.900002,98.739998,96.239998,97.110001,1950000,94.938468
2015-07-28,97.25,98.839996,96.330002,97.779999,1531600,95.593484
2015-07-29,97.599998,98.400002,96.5,97.760002,1998500,95.573934
2015-07-30,97.400002,97.669998,94.559998,96.230003,3143600,94.078149
2015-07-31,96.400002,98.470001,96.150002,97.339996,1389700,95.163321
2015-08-03,97.099998,98.25,96.220001,96.830002,1870900,94.66473
2015-08-04,97.019997,97.629997,95.629997,96.82,1627500,94.654952
2015-08-05,97.309998,98.589996,96.849998,98.120003,2498800,95.925885
2015-08-06,98.120003,102.25,95.629997,101.269997,4544500,99.00544
2015-08-07,100.93,102.699997,99.459999,102.029999,2243100,99.748447
2015-08-10,102.989998,107.949997,102.43,107.360001,3498000,104.959262
2015-08-11,106.519997,109.620003,105.190002,109.43,2197400,106.982973
2015-08-12,109.0,109.940002,106.860001,109.379997,2121900,106.934088
2015-08-13,109.279999,110.739998,102.800003,104.410004,4705800,102.075231
2015-08-14,102.860001,103.879997,101.349998,102.080002,2714000,99.797332
2015-08-17,101.279999,104.25,100.779999,104.25,2019500,101.918806
2015-08-18,103.870003,105.82,103.709999,105.650002,1446100,103.287501
2015-08-19,105.489998,106.339996,104.129997,104.949997,1860800,102.60315
2015-08-20,104.0,105.110001,101.839996,101.959999,1691800,99.680013
