Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2015-08-18,77.57,77.57,76.050003,76.339996,675700,74.110794
2015-08-19,75.970001,76.239998,75.099998,75.470001,899300,73.266204
2015-08-20,75.199997,75.199997,72.0,73.93,1509600,71.771173
2015-08-21,73.370003,73.769997,72.010002,72.089996,3034700,69.984898
2015-08-24,68.330002,72.099998,67.760002,69.650002,4135400,67.616154
2015-08-25,72.199997,72.199997,68.32,68.330002,3049100,66.334699
2015-08-26,69.620003,71.120003,69.160004,70.809998,3412800,68.742277
2015-08-27,71.57,73.120003,71.57,72.900002,2214800,70.771251
2015-08-28,72.089996,72.480003,71.809998,72.400002,1408200,70.285851
2015-08-31,71.870003,72.25,71.300003,71.879997,1305800,69.781032
2015-09-01,70.150002,70.32,69.050003,69.379997,2445400,67.354034
2015-09-02,70.370003,70.540001,69.0,69.910004,1591100,67.868564
2015-09-03,69.889999,70.769997,69.739998,70.360001,1853900,68.30542
2015-09-04,69.449997,70.120003,68.989998,69.440002,1500900,67.412287
2015-09-08,70.260002,71.18,69.599998,71.150002,1839800,69.072352
2015-09-09,72.0,72.879997,70.32,70.449997,1689600,68.392789
2015-09-10,70.459999,71.5,70.419998,70.919998,1372400,68.849065
2015-09-11,70.220001,71.029999,70.0,71.0,1181200,69.435849
2015-09-14,70.959999,70.980003,70.279999,70.580002,1309400,69.025104
2015-09-15,70.580002,71.510002,70.169998,70.949997,1900100,69.386948
2015-09-16,71.040001,71.790001,70.480003,71.68,1380900,70.100869
2015-09-17,71.459999,72.440002,70.93,71.059998,1858000,69.494525
2015-09-18,70.089996,70.760002,69.279999,69.57,2956100,68.037352
2015-09-21,69.900002,70.440002,69.550003,70.220001,1032900,68.673034
2015-09-22,69.160004,69.849998,68.559998,69.059998,1969000,67.538586
2015-09-23,69.309998,69.370003,68.510002,68.870003,1370000,67.352776
2015-09-24,68.419998,68.769997,67.93,68.360001,2242300,66.85401
2015-09-25,68.940002,69.470001,68.629997,69.120003,2098200,67.597269
2015-09-28,68.940002,69.379997,68.440002,69.099998,4012500,67.577705
2015-09-29,69.449997,71.190002,67.980003,68.269997,2689900,66.765989
2015-09-30,69.209999,69.529999,68.510002,69.5,1920900,67.968895
2015-10-01,69.550003,69.940002,67.940002,68.589996,1880800,67.078939
2015-10-02,66.32,68.75,65.879997,68.739998,2105600,67.225636
2015-10-05,69.510002,70.82,69.43,70.75,1509300,69.191357
2015-10-06,70.540001,70.870003,69.989998,70.629997,1205300,69.073998
2015-10-07,71.449997,72.169998,70.650002,71.980003,1430500,70.394263
2015-10-08,71.470001,72.169998,70.949997,72.040001,1631000,70.452939
2015-10-09,72.139999,72.449997,71.129997,71.5,1528800,69.924834
2015-10-12,70.889999,71.0,69.599998,70.239998,2320700,68.69259
2015-10-13,70.230003,70.279999,69.080002,69.150002,1679900,67.626607
2015-10-14,69.129997,69.849998,68.849998,68.980003,1296900,67.460354
2015-10-15,69.190002,70.199997,69.129997,70.199997,1201500,68.65347
2015-10-16,70.529999,70.900002,70.199997,70.800003,1307700,69.240258
2015-10-19,70.309998,70.589996,70.0,70.260002,992000,68.712154
2015-10-20,70.489998,70.790001,70.120003,70.550003,1033500,68.995766
2015-10-21,70.970001,71.0,69.559998,69.639999,1384100,68.10581
2015-10-22,70.900002,74.620003,70.739998,74.25,3740200,72.614251
2015-10-23,74.610001,74.610001,73.43,74.389999,1986100,72.751166
2015-10-26,74.309998,74.529999,73.870003,74.190002,1284200,72.555575
2015-10-27,73.519997,74.0,73.209999,73.949997,1018900,72.320857
2015-10-28,74.059998,75.239998,73.800003,75.239998,1643900,73.582439
2015-10-29,74.860001,75.550003,74.309998,75.379997,1268700,73.719354
2015-10-30,75.360001,75.989998,75.010002,75.620003,1967700,73.954072
2015-11-02,75.959999,76.220001,75.580002,76.190002,1433300,74.511514
2015-11-03,75.82,76.889999,75.669998,76.68,1170400,74.990717
2015-11-04,76.599998,76.940002,76.0,76.190002,1018000,74.511514
2015-11-05,76.379997,77.050003,76.260002,76.669998,831200,74.980936
2015-11-06,77.169998,77.709999,76.419998,76.93,929900,75.23521
2015-11-09,76.809998,76.870003,75.25,75.529999,1359600,73.866051
2015-11-10,75.449997,76.160004,75.260002,76.160004,823600,74.482176
2015-11-11,76.470001,76.739998,76.169998,76.379997,966400,74.697323
2015-11-12,76.029999,76.669998,75.190002,75.25,1382700,73.59222
2015-11-13,75.029999,75.32,74.160004,74.360001,1235600,72.721828
2015-11-16,74.300003,75.360001,73.779999,75.339996,797600,73.680234
2015-11-17,75.230003,75.57,74.470001,74.739998,1064100,73.093454
2015-11-18,74.809998,76.489998,74.720001,76.489998,1194800,74.804901
2015-11-19,76.379997,76.480003,76.010002,76.379997,716400,74.697323
2015-11-20,76.669998,76.910004,75.910004,76.370003,1069400,74.687549
2015-11-23,76.419998,76.699997,76.019997,76.150002,655600,74.472395
2015-11-24,75.239998,75.779999,74.970001,75.620003,870400,73.954072
2015-11-25,75.589996,76.419998,75.339996,76.010002,858600,74.335479
2015-11-27,76.059998,76.129997,75.489998,75.949997,512500,74.276796
2015-11-30,76.160004,76.410004,75.480003,76.150002,1528700,74.472395
2015-12-01,76.599998,77.050003,76.019997,76.489998,1325700,74.804901
2015-12-02,76.5,76.589996,75.300003,75.540001,1157300,73.875832
2015-12-03,75.739998,75.93,74.639999,75.169998,2346900,73.513981
2015-12-04,75.300003,76.260002,75.139999,76.029999,2197400,74.355036
2015-12-07,75.860001,76.07,74.690002,75.160004,1592100,73.504207
2015-12-08,74.589996,74.68,73.940002,74.110001,1901600,72.477336
2015-12-09,73.75,74.470001,72.75,73.169998,1131300,71.558042
2015-12-10,73.129997,74.129997,72.940002,73.339996,1652600,71.724295
2015-12-11,72.330002,72.480003,70.470001,70.800003,2173200,69.240258
2015-12-14,70.199997,71.0,68.760002,70.040001,1982200,69.003805
2015-12-15,70.889999,71.650002,70.889999,71.370003,2103000,70.31413
2015-12-16,72.139999,72.410004,70.970001,72.129997,2699200,71.062881
2015-12-17,72.139999,72.489998,70.900002,71.010002,1564600,69.959455
2015-12-18,70.480003,70.980003,69.809998,69.910004,2562400,68.875731
2015-12-21,70.519997,70.75,70.019997,70.389999,1612000,69.348625
2015-12-22,70.629997,70.980003,70.190002,70.910004,1809900,69.860936
2015-12-23,71.0,73.0,70.919998,72.75,1582500,71.673711
2015-12-24,72.480003,72.959999,72.18,72.449997,431900,71.378146
2015-12-28,72.25,72.830002,71.970001,72.720001,1011000,71.644156
2015-12-29,72.730003,73.639999,72.730003,73.099998,1020800,72.018532
2015-12-30,72.93,73.389999,72.040001,72.089996,1081000,71.023472
2015-12-31,72.050003,72.489998,71.489998,71.489998,1052800,70.43235
2016-01-04,69.93,70.209999,69.169998,70.190002,2353500,69.151587
