Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2015-04-16,122.889999,123.690002,122.290001,123.32,1449100,119.761436
2015-04-17,122.239998,122.239998,121.330002,121.470001,1847200,117.964822
2015-04-20,122.410004,123.43,122.050003,122.830002,1300800,119.285578
2015-04-21,122.790001,123.099998,121.459999,122.139999,980400,118.615486
2015-04-22,122.150002,123.57,121.18,123.470001,1457500,119.907109
2015-04-23,123.559998,124.18,122.410004,123.43,1166900,119.868263
2015-04-24,123.080002,123.25,121.949997,122.489998,836300,118.955385
2015-04-27,122.730003,124.980003,122.57,124.889999,1742600,121.286131
2015-04-28,119.0,120.790001,117.029999,120.279999,4189000,116.809159
2015-04-29,118.019997,120.860001,117.029999,119.68,2248500,116.226474
2015-04-30,118.980003,119.68,118.440002,119.360001,1731600,115.915708
2015-05-01,120.089996,121.389999,119.449997,120.699997,1308400,117.217037
2015-05-04,120.959999,121.989998,120.660004,121.629997,1248000,118.120201
2015-05-05,121.980003,124.099998,121.610001,122.220001,2814700,118.69318
2015-05-06,121.650002,121.93,120.360001,121.059998,1527100,118.175809
2015-05-07,121.019997,121.449997,120.339996,120.959999,1026900,118.078193
2015-05-08,122.410004,122.980003,121.220001,121.489998,1288900,118.595565
2015-05-11,121.870003,123.0,121.760002,122.290001,1020000,119.376508
2015-05-12,121.75,122.059998,120.870003,121.620003,864600,118.722473
2015-05-13,121.879997,123.790001,121.650002,123.169998,1109300,120.23554
2015-05-14,124.360001,124.730003,123.690002,124.589996,873900,121.621708
2015-05-15,124.470001,124.75,121.629997,122.330002,1136000,119.415556
2015-05-18,122.080002,122.919998,120.900002,122.709999,1033700,119.7865
2015-05-19,122.620003,122.870003,121.089996,122.110001,828700,119.200797
2015-05-20,122.139999,123.050003,121.620003,122.709999,912800,119.7865
2015-05-21,122.779999,125.330002,122.75,125.150002,2117900,122.168371
2015-05-22,125.169998,125.279999,124.309998,124.739998,938400,121.768136
2015-05-26,124.419998,124.5,122.349998,122.629997,1027000,119.708405
2015-05-27,122.599998,123.5,121.75,123.349998,968300,120.411252
2015-05-28,123.260002,123.419998,121.260002,122.269997,1152600,119.356981
2015-05-29,122.089996,122.089996,119.889999,120.43,2201600,117.560821
2015-06-01,120.709999,120.919998,119.5,120.459999,1251100,117.590105
2015-06-02,120.160004,121.779999,119.510002,120.650002,1194700,117.775581
2015-06-03,121.129997,122.139999,120.519997,121.25,1029900,118.361285
2015-06-04,120.699997,121.169998,119.330002,119.529999,1348800,116.682262
2015-06-05,119.32,119.900002,118.57,119.769997,859000,116.916542
