Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2015-10-02,95.580002,99.0,95.519997,98.959999,5549000,97.781112
2015-10-05,99.860001,102.25,99.760002,101.970001,6942400,100.755257
2015-10-06,102.099998,102.150002,99.639999,99.82,4985500,98.630868
2015-10-07,100.57,101.370003,99.980003,101.010002,4393200,99.806694
2015-10-08,101.010002,102.5,100.5,102.169998,5140000,100.952871
2015-10-09,102.010002,102.519997,101.519997,102.0,4410300,100.784898
2015-10-12,102.199997,103.519997,102.019997,103.07,3443300,101.842151
2015-10-13,102.82,103.779999,101.800003,102.050003,4123700,100.834306
2015-10-14,102.199997,102.720001,100.019997,100.449997,4186000,99.25336
2015-10-15,100.989998,102.489998,100.25,102.410004,3729400,101.190018
2015-10-16,103.0,103.82,102.290001,103.379997,3820200,102.148456
2015-10-19,102.879997,103.589996,102.5,103.510002,3129900,102.276912
2015-10-20,103.330002,104.400002,103.160004,103.599998,4620200,102.713145
2015-10-21,103.970001,104.57,102.889999,103.290001,3670900,102.405801
2015-10-22,104.019997,104.519997,103.290001,104.290001,6172200,103.397241
2015-10-23,104.970001,104.970001,102.580002,103.949997,5838800,103.060148
2015-10-26,103.989998,104.339996,103.029999,103.470001,4986400,102.584261
