Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2016-05-10,100.300003,102.419998,100.199997,102.160004,3672000,101.486153
2016-05-11,102.550003,102.68,101.440002,101.599998,2795900,100.929842
2016-05-12,101.779999,102.279999,101.150002,101.459999,2866700,100.790766
2016-05-13,101.239998,101.720001,99.959999,100.269997,3280500,99.608613
2016-05-16,100.050003,102.080002,100.050003,101.82,3469400,101.148392
2016-05-17,101.660004,101.940002,99.739998,100.059998,4191000,99.399999
2016-05-18,99.449997,100.5,98.790001,99.290001,3340400,99.290001
2016-05-19,98.669998,98.940002,97.940002,98.510002,3138900,98.510002
2016-05-20,99.150002,99.889999,98.669998,99.099998,4288800,99.099998
2016-05-23,98.949997,99.07,98.269997,98.900002,2641700,98.900002
2016-05-24,99.489998,100.360001,99.419998,99.910004,2953700,99.910004
2016-05-25,100.290001,100.940002,100.290001,100.32,2354200,100.32
2016-05-26,100.440002,101.0,100.290001,100.410004,2486900,100.410004
2016-05-27,100.489998,100.769997,100.089996,100.760002,2611300,100.760002
2016-05-31,100.769997,101.199997,100.349998,100.580002,4873700,100.580002
2016-06-01,100.089996,100.5,98.75,100.349998,2805700,100.349998
2016-06-02,100.25,100.809998,100.07,100.790001,2468500,100.790001
2016-06-03,100.75,100.779999,99.889999,100.43,2249700,100.43
