Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2016-05-13,42.43,42.560001,42.139999,42.259998,516400,41.928034
2016-05-16,42.369999,42.959999,42.119999,42.669998,506900,42.334813
2016-05-17,42.560001,42.560001,41.759998,42.009998,776300,41.679997
2016-05-18,41.68,42.0,41.110001,41.630001,988400,41.630001
2016-05-19,41.189999,41.419998,41.029999,41.18,681300,41.18
2016-05-20,41.389999,41.650002,41.110001,41.529999,837200,41.529999
2016-05-23,41.639999,41.740002,41.34,41.59,467700,41.59
2016-05-24,41.709999,42.18,41.189999,42.099998,1092200,42.099998
2016-05-25,42.259998,42.549999,41.880001,42.349998,1097200,42.349998
2016-05-26,42.220001,42.689999,42.02,42.639999,1226900,42.639999
2016-05-27,42.66,42.98,42.41,42.779999,816000,42.779999
2016-05-31,42.869999,42.970001,42.380001,42.650002,1178400,42.650002
2016-06-01,42.25,42.599998,41.700001,41.880001,1794600,41.880001
2016-06-02,41.650002,41.849998,41.060001,41.630001,2114100,41.630001
2016-06-03,41.810001,42.02,40.700001,40.889999,1385700,40.889999
